nom_crise;type_crise;pays;latitude;longitude;intensite;date;population_touchee;accessibilite;description;en_cours;date_fin;source
Tsunami ALBANIA OCHRIDA LAKE;Tsunami;ALBANIA;40.9;20.8;;18/02/1911;;;location : OCHRIDA LAKE;False;18/02/1911;
Tsunami TOGO GOLD COAST;Tsunami;TOGO;6.1;1.2;;11/05/1911;;;location : GOLD COAST;False;11/05/1911;
Tsunami MEXICO MEXICO;Tsunami;MEXICO;18.362;-102.471;;07/06/1911;;;location : MEXICO;False;07/06/1911;
Tsunami JAPAN RYUKYU ISLANDS;Tsunami;JAPAN;28;130;;15/06/1911;;;location : RYUKYU ISLANDS;False;15/06/1911;
Tsunami PHILIPPINES PHILIPPINE TRENCH;Tsunami;PHILIPPINES;9;126;;12/07/1911;;;location : PHILIPPINE TRENCH;False;12/07/1911;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-20;-72;;15/09/1911;;;location : NORTHERN CHILE;False;15/09/1911;
Tsunami USA PRINCE WILLIAM SOUND, AK;Tsunami;USA;60.5;-149;;22/09/1911;;;location : PRINCE WILLIAM SOUND, AK;False;22/09/1911;
Tsunami GREECE IONIAN SEA;Tsunami;GREECE;37.928;21.013;;24/01/1912;;;location : IONIAN SEA;False;24/01/1912;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;40.5;142;;08/06/1912;;;location : SANRIKU;False;08/06/1912;
Tsunami TURKEY MARMARA SEA;Tsunami;TURKEY;40.73;27.121;;09/08/1912;;;location : MARMARA SEA;False;09/08/1912;
Tsunami MICRONESIA, FED. STATES OF CAROLINE ISLANDS;Tsunami;MICRONESIA, FED. STATES OF;7;138;;31/10/1912;;;location : CAROLINE ISLANDS;False;31/10/1912;
Tsunami NEW ZEALAND TASMAN SEA;Tsunami;NEW ZEALAND;-41.8;171.5;;22/02/1913;;;location : TASMAN SEA;False;22/02/1913;
Tsunami INDONESIA SANGIHE ISLAND;Tsunami;INDONESIA;5.354;126.121;;14/03/1913;;;location : SANGIHE ISLAND;False;14/03/1913;
Tsunami PERU S. PERU;Tsunami;PERU;-16.6;-73.3;;28/07/1913;;;location : S. PERU;False;28/07/1913;
Tsunami PERU S. PERU;Tsunami;PERU;-17;-74;;06/08/1913;;;location : S. PERU;False;06/08/1913;
Tsunami PANAMA OFF COAST;Tsunami;PANAMA;7.1;-80.6;;02/10/1913;;;location : OFF COAST;False;02/10/1913;
Tsunami PAPUA NEW GUINEA SOLOMON SEA;Tsunami;PAPUA NEW GUINEA;-7;148;;11/10/1913;;;location : SOLOMON SEA;False;11/10/1913;
Tsunami JAPAN SEIKAIDO;Tsunami;JAPAN;31.58;130.67;;12/01/1914;;;location : SEIKAIDO;False;12/01/1914;
Tsunami PERU S. PERU;Tsunami;PERU;-17;-72;;26/02/1914;;;location : S. PERU;False;26/02/1914;
Tsunami INDONESIA NW. IRIAN JAYA;Tsunami;INDONESIA;-1.829;136.943;;26/05/1914;;;location : NW. IRIAN JAYA;False;26/05/1914;
Tsunami INDONESIA INDONESIA;Tsunami;INDONESIA;-3.924;101.82;;25/06/1914;;;location : INDONESIA;False;25/06/1914;
Tsunami GREECE IONIAN SEA;Tsunami;GREECE;38.582;20.587;;27/11/1914;;;location : IONIAN SEA;False;27/11/1914;
Tsunami GREECE IONIAN SEA;Tsunami;GREECE;38.06;20.263;;27/01/1915;;;location : IONIAN SEA;False;27/01/1915;
Tsunami GREECE IONIAN SEA;Tsunami;GREECE;38.5;20.7;;07/08/1915;;;location : IONIAN SEA;False;07/08/1915;
Tsunami EL SALVADOR EL SALVADOR;Tsunami;EL SALVADOR;14.126;-89.007;;07/09/1915;;;location : EL SALVADOR;False;07/09/1915;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;38.3;142.9;;01/11/1915;;;location : SANRIKU;False;01/11/1915;
Tsunami INDONESIA NW. IRIAN JAYA;Tsunami;INDONESIA;-1;136;;06/11/1915;;;location : NW. IRIAN JAYA;False;06/11/1915;
Tsunami PHILIPPINES W. LUZON ISLAND;Tsunami;PHILIPPINES;18;119.5;;18/11/1915;;;location : W. LUZON ISLAND;False;18/11/1915;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-4.739;152.548;;01/01/1916;;;location : BISMARCK SEA;False;01/01/1916;
Tsunami PANAMA BOCAS DEL TORO;Tsunami;PANAMA;9.6;-82;;26/04/1916;;;location : BOCAS DEL TORO;False;26/04/1916;
Tsunami ITALY STROMBOLI ISLAND;Tsunami;ITALY;38.817;15.233;;03/07/1916;;;location : STROMBOLI ISLAND;False;03/07/1916;
Tsunami ITALY CENTRAL ADRIATIC;Tsunami;ITALY;44.035;13.009;;16/08/1916;;;location : CENTRAL ADRIATIC;False;16/08/1916;
Tsunami INDONESIA BALI SEA;Tsunami;INDONESIA;-7;116;;20/01/1917;;;location : BALI SEA;False;20/01/1917;
Tsunami CHINA SOUTH CHINA SEA;Tsunami;CHINA;24.47;118.08;;25/01/1917;;;location : SOUTH CHINA SEA;False;25/01/1917;
Tsunami RUSSIA KAMCHATKA;Tsunami;RUSSIA;56.5;163;;30/01/1917;;;location : KAMCHATKA;False;30/01/1917;
