nom_crise;type_crise;pays;latitude;longitude;intensite;date;population_touchee;accessibilite;description;en_cours;date_fin;source
Tsunami PHILIPPINES NORTHERN LUZON ISLAND;Tsunami;PHILIPPINES;17;121.5;;05/09/1949;;;location : NORTHERN LUZON ISLAND;False;05/09/1949;
Tsunami USA GULF OF ALASKA, AK;Tsunami;USA;59.75;-149;;27/09/1949;;;location : GULF OF ALASKA, AK;False;27/09/1949;
Tsunami PAPUA NEW GUINEA SOLOMON SEA;Tsunami;PAPUA NEW GUINEA;-5.5;154;;19/10/1949;;;location : SOLOMON SEA;False;19/10/1949;
Tsunami CHILE SOUTHERN CHILE;Tsunami;CHILE;-54;-71;;17/12/1949;;;location : SOUTHERN CHILE;False;17/12/1949;
Tsunami CHILE SOUTHERN CHILE;Tsunami;CHILE;-54;-71;;17/12/1949;;;location : SOUTHERN CHILE;False;17/12/1949;
Tsunami PHILIPPINES E. LUZON ISLAND;Tsunami;PHILIPPINES;17;121.63;;29/12/1949;;;location : E. LUZON ISLAND;False;29/12/1949;
Tsunami CHILE SOUTHERN CHILE;Tsunami;CHILE;-53.5;-71.5;;30/01/1950;;;location : SOUTHERN CHILE;False;30/01/1950;
Tsunami NEW ZEALAND N. NEW ZEALAND;Tsunami;NEW ZEALAND;-37.8;177.2;;14/03/1950;;;location : N. NEW ZEALAND;False;14/03/1950;
Tsunami VENEZUELA EL TOCUYO;Tsunami;VENEZUELA;9.71;-69.819;;03/08/1950;;;location : EL TOCUYO;False;03/08/1950;
Tsunami INDIA INDIA-CHINA;Tsunami;INDIA;28.5;96.5;;15/08/1950;;;location : INDIA-CHINA;False;15/08/1950;
Tsunami COSTA RICA COSTA RICA-NICARAGUA;Tsunami;COSTA RICA;11;-85;;05/10/1950;;;location : COSTA RICA-NICARAGUA;False;05/10/1950;
Tsunami INDONESIA BANDA SEA;Tsunami;INDONESIA;-3.8;128.3;;08/10/1950;;;location : BANDA SEA;False;08/10/1950;
Tsunami GUATEMALA GUATEMALA;Tsunami;GUATEMALA;14.31;-91.917;;23/10/1950;;;location : GUATEMALA;False;23/10/1950;
Tsunami SOLOMON ISLANDS SOLOMON SEA;Tsunami;SOLOMON ISLANDS;-10;159.5;;08/11/1950;;;location : SOLOMON SEA;False;08/11/1950;
Tsunami VANUATU VANUATU ISLANDS;Tsunami;VANUATU;-18.25;167.5;;02/12/1950;;;location : VANUATU ISLANDS;False;02/12/1950;
Tsunami PERU S. PERU;Tsunami;PERU;-14.25;-77.75;;10/12/1950;;;location : S. PERU;False;10/12/1950;
Tsunami MEXICO S. MEXICO;Tsunami;MEXICO;16.48;-98.22;;14/12/1950;;;location : S. MEXICO;False;14/12/1950;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-3.252;142.238;;22/02/1951;;;location : BISMARCK SEA;False;22/02/1951;
Tsunami NICARAGUA COSIGUINA VOLCANO;Tsunami;NICARAGUA;13;-87.5;;03/08/1951;;;location : COSIGUINA VOLCANO;False;03/08/1951;
Tsunami USA HAWAII;Tsunami;USA;19.5;-156;;21/08/1951;;;location : HAWAII;False;21/08/1951;
Tsunami TAIWAN TAIWAN;Tsunami;TAIWAN;23.8;121.7;;22/10/1951;;;location : TAIWAN;False;22/10/1951;
Tsunami CHINA CHINA: GANSU AND SHANXI PROVINCES;Tsunami;CHINA;26.7;100;;21/12/1951;;;location : CHINA: GANSU AND SHANXI PROVINCES;False;21/12/1951;
Tsunami JAPAN SE. HOKKAIDO ISLAND;Tsunami;JAPAN;42.15;143.85;;04/03/1952;;;location : SE. HOKKAIDO ISLAND;False;04/03/1952;
Tsunami JAPAN SE. HOKKAIDO ISLAND;Tsunami;JAPAN;41.7;143.6;;09/03/1952;;;location : SE. HOKKAIDO ISLAND;False;09/03/1952;
Tsunami PHILIPPINES E. OF MINDANO, PHILIPPINES;Tsunami;PHILIPPINES;9.5;127.25;;19/03/1952;;;location : E. OF MINDANO, PHILIPPINES;False;19/03/1952;
Tsunami COSTA RICA COSTA RICA-PANAMA;Tsunami;COSTA RICA;10.088;-85.211;;13/05/1952;;;location : COSTA RICA-PANAMA;False;13/05/1952;
Tsunami VANUATU OFF EAST COAST OF VANUATU;Tsunami;VANUATU;-18.5;169.25;;13/07/1952;;;location : OFF EAST COAST OF VANUATU;False;13/07/1952;
Tsunami RUSSIA KAMCHATKA;Tsunami;RUSSIA;52.755;160.057;;04/11/1952;;;location : KAMCHATKA;False;04/11/1952;
Tsunami PERU CENTRAL PERU;Tsunami;PERU;-12;-77.5;;15/02/1953;;;location : CENTRAL PERU;False;15/02/1953;
Tsunami RUSSIA N. KURIL ISLANDS;Tsunami;RUSSIA;50;156.5;;17/03/1953;;;location : N. KURIL ISLANDS;False;17/03/1953;
Tsunami PAPUA NEW GUINEA RABAUL, NEW BRITAIN;Tsunami;PAPUA NEW GUINEA;-4.449;152.868;;23/04/1953;;;location : RABAUL, NEW BRITAIN;False;23/04/1953;
Tsunami CHILE CENTRAL CHILE;Tsunami;CHILE;-36.5;-72.5;;06/05/1953;;;location : CENTRAL CHILE;False;06/05/1953;
Tsunami DOMINICAN REPUBLIC PUERTO PLATA;Tsunami;DOMINICAN REPUBLIC;19.8;-70.7;;31/05/1953;;;location : PUERTO PLATA;False;31/05/1953;
Tsunami GREECE ITHAKI ISLAND;Tsunami;GREECE;38.216;20.83;;09/08/1953;;;location : ITHAKI ISLAND;False;09/08/1953;
Tsunami GREECE IONIAN SEA;Tsunami;GREECE;38.1;20.6;;11/08/1953;;;location : IONIAN SEA;False;11/08/1953;
Tsunami GREECE IONIAN SEA;Tsunami;GREECE;38.3;20.8;;12/08/1953;;;location : IONIAN SEA;False;12/08/1953;
Tsunami CYPRUS LEVANTIAN SEA;Tsunami;CYPRUS;34.741;32.335;;10/09/1953;;;location : LEVANTIAN SEA;False;10/09/1953;
Tsunami FIJI FIJI ISLANDS;Tsunami;FIJI;-18.3;178.2;;14/09/1953;;;location : FIJI ISLANDS;False;14/09/1953;
Tsunami VANUATU CORAL SEA;Tsunami;VANUATU;-13.189;166.516;;04/11/1953;;;location : CORAL SEA;False;04/11/1953;
Tsunami JAPAN KASHIMA, JAPAN;Tsunami;JAPAN;34;141.7;;25/11/1953;;;location : KASHIMA, JAPAN;False;25/11/1953;
Tsunami PERU N. PERU;Tsunami;PERU;-3.4;-80.6;;12/12/1953;;;location : N. PERU;False;12/12/1953;
Tsunami CHINA CHINA: GANSU AND SHANXI PROVINCES;Tsunami;CHINA;;;;11/02/1954;;;location : CHINA: GANSU AND SHANXI PROVINCES;False;11/02/1954;
Tsunami ALGERIA SEA OF ALBORAN;Tsunami;ALGERIA;36.274;1.594;;09/09/1954;;;location : SEA OF ALBORAN;False;09/09/1954;
Tsunami JAPAN MIYAGI, JAPAN;Tsunami;JAPAN;38.9;142.2;;18/11/1954;;;location : MIYAGI, JAPAN;False;18/11/1954;
Tsunami VENEZUELA OFF THE COAST NEAR LA VELA;Tsunami;VENEZUELA;11.46;-69.57;;18/01/1955;;;location : OFF THE COAST NEAR LA VELA;False;18/01/1955;
Tsunami PHILIPPINES LAKE LANAO;Tsunami;PHILIPPINES;7.658;123.157;;31/03/1955;;;location : LAKE LANAO;False;31/03/1955;
Tsunami GREECE VOLOS GULF;Tsunami;GREECE;39.4;23.1;;19/04/1955;;;location : VOLOS GULF;False;19/04/1955;
Tsunami CHILE CENTRAL CHILE;Tsunami;CHILE;-30;-72;;19/04/1955;;;location : CENTRAL CHILE;False;19/04/1955;
Tsunami INDIA LITTLE NICOBAR ISLAND;Tsunami;INDIA;6.5;94;;17/05/1955;;;location : LITTLE NICOBAR ISLAND;False;17/05/1955;
Tsunami GREECE EAST AEGEAN SEA;Tsunami;GREECE;37.617;27.284;;16/07/1955;;;location : EAST AEGEAN SEA;False;16/07/1955;
Tsunami PAPUA NEW GUINEA SOLOMON SEA;Tsunami;PAPUA NEW GUINEA;-6.9;155.7;;08/09/1955;;;location : SOLOMON SEA;False;08/09/1955;
Tsunami CHINA JINSHA RIVER, YUNNAN PROVINCE;Tsunami;CHINA;26.6;101.8;;23/09/1955;;;location : JINSHA RIVER, YUNNAN PROVINCE;False;23/09/1955;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-5.1;152.924;;10/10/1955;;;location : BISMARCK SEA;False;10/10/1955;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-19;-70;;08/01/1956;;;location : NORTHERN CHILE;False;08/01/1956;
Tsunami NEW ZEALAND LAKE TAUPO, NORTH ISLAND;Tsunami;NEW ZEALAND;-38.9;175.8;;02/03/1956;;;location : LAKE TAUPO, NORTH ISLAND;False;02/03/1956;
Tsunami JAPAN NE. HOKKAIDO ISLAND;Tsunami;JAPAN;44.3;144.1;;05/03/1956;;;location : NE. HOKKAIDO ISLAND;False;05/03/1956;
Tsunami GREECE CYCLADES;Tsunami;GREECE;36.664;25.957;;09/07/1956;;;location : CYCLADES;False;09/07/1956;
Tsunami GREECE AMORGOS ISLAND, AEGEAN ISLANDS;Tsunami;GREECE;36.8;25.5;;09/07/1956;;;location : AMORGOS ISLAND, AEGEAN ISLANDS;False;09/07/1956;
Tsunami JAPAN IZU PENINSULA;Tsunami;JAPAN;33.8;138.8;;12/08/1956;;;location : IZU PENINSULA;False;12/08/1956;
Tsunami NICARAGUA NICARAGUA;Tsunami;NICARAGUA;11.862;-86.556;;24/10/1956;;;location : NICARAGUA;False;24/10/1956;
Tsunami GREECE NORTH AEGEAN;Tsunami;GREECE;39.267;23.173;;02/11/1956;;;location : NORTH AEGEAN;False;02/11/1956;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-25.5;-71;;18/12/1956;;;location : NORTHERN CHILE;False;18/12/1956;
Tsunami USA ANDREANOF ISLANDS, AK;Tsunami;USA;51.499;-175.626;;09/03/1957;;;location : ANDREANOF ISLANDS, AK;False;09/03/1957;
Tsunami INDONESIA NW. IRIAN JAYA;Tsunami;INDONESIA;-1.5;137;;22/06/1957;;;location : NW. IRIAN JAYA;False;22/06/1957;
Tsunami MEXICO S. MEXICO;Tsunami;MEXICO;16.5;-99.1;;28/07/1957;;;location : S. MEXICO;False;28/07/1957;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-23.5;-71.5;;29/07/1957;;;location : NORTHERN CHILE;False;29/07/1957;
Tsunami INDONESIA SOUTH OF JAVA;Tsunami;INDONESIA;-8.2;107.3;;26/09/1957;;;location : SOUTH OF JAVA;False;26/09/1957;
Tsunami INDONESIA MAKASSAR STRAIT;Tsunami;INDONESIA;-2;116;;26/10/1957;;;location : MAKASSAR STRAIT;False;26/10/1957;
Tsunami ECUADOR COLOMBIA-ECUADOR;Tsunami;ECUADOR;1.5;-79.5;;19/01/1958;;;location : COLOMBIA-ECUADOR;False;19/01/1958;
Tsunami CHINA SICHUAN PROVINCE;Tsunami;CHINA;31.5;105;;07/02/1958;;;location : SICHUAN PROVINCE;False;07/02/1958;
Tsunami INDONESIA BENGKULU, SUMATRA;Tsunami;INDONESIA;-4.5;104;;21/04/1958;;;location : BENGKULU, SUMATRA;False;21/04/1958;
Tsunami USA SE. ALASKA, AK;Tsunami;USA;58.37;-136.665;;10/07/1958;;;location : SE. ALASKA, AK;False;10/07/1958;
Tsunami RUSSIA N. KURIL ISLANDS;Tsunami;RUSSIA;48.6;156.1;;17/09/1958;;;location : N. KURIL ISLANDS;False;17/09/1958;
Tsunami PACIFIC OCEAN EAST PACIFIC RISE;Tsunami;PACIFIC OCEAN;-50;-115;;04/11/1958;;;location : EAST PACIFIC RISE;False;04/11/1958;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;44.53;148.54;;06/11/1958;;;location : S. KURIL ISLANDS;False;06/11/1958;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;44.2;148.8;;12/11/1958;;;location : S. KURIL ISLANDS;False;12/11/1958;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;37.5;142.2;;22/01/1959;;;location : SANRIKU;False;22/01/1959;
Tsunami PERU N. PERU;Tsunami;PERU;-4;-81.5;;07/02/1959;;;location : N. PERU;False;07/02/1959;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;44.3;149;;09/04/1959;;;location : S. KURIL ISLANDS;False;09/04/1959;
Tsunami RUSSIA KAMCHATKA;Tsunami;RUSSIA;52.5;159.5;;04/05/1959;;;location : KAMCHATKA;False;04/05/1959;
Tsunami SOLOMON ISLANDS SOLOMON ISLANDS;Tsunami;SOLOMON ISLANDS;-7.5;156;;17/08/1959;;;location : SOLOMON ISLANDS;False;17/08/1959;
Tsunami USA HEGBEN LAKE, MONTANA;Tsunami;USA;44.63;-110.891;;18/08/1959;;;location : HEGBEN LAKE, MONTANA;False;18/08/1959;
Tsunami RUSSIA LAKE BAYKAL (BAIKAL);Tsunami;RUSSIA;52;106.5;;29/08/1959;;;location : LAKE BAYKAL (BAIKAL);False;29/08/1959;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;37.5;143.2;;26/10/1959;;;location : SANRIKU;False;26/10/1959;
Tsunami PERU S. PERU;Tsunami;PERU;-15.75;-72.75;;13/01/1960;;;location : S. PERU;False;13/01/1960;
Tsunami MOROCCO MOROCCO;Tsunami;MOROCCO;30.5;-9.5;;29/02/1960;;;location : MOROCCO;False;29/02/1960;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;39.8;143.4;;20/03/1960;;;location : SANRIKU;False;20/03/1960;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;39.4;143.7;;23/03/1960;;;location : SANRIKU;False;23/03/1960;
Tsunami CHILE CENTRAL CHILE;Tsunami;CHILE;-37.872;-73.243;;21/05/1960;;;location : CENTRAL CHILE;False;21/05/1960;
Tsunami CHILE SOUTHERN CHILE;Tsunami;CHILE;-38.143;-73.407;;22/05/1960;;;location : SOUTHERN CHILE;False;22/05/1960;
Tsunami CHILE SOUTHERN CHILE;Tsunami;CHILE;;;;24/05/1960;;;location : SOUTHERN CHILE;False;24/05/1960;
Tsunami PAPUA NEW GUINEA SOLOMON SEA;Tsunami;PAPUA NEW GUINEA;-9.4;152.3;;11/06/1960;;;location : SOLOMON SEA;False;11/06/1960;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;40.3;142.5;;29/07/1960;;;location : SANRIKU;False;29/07/1960;
Tsunami CHILE SOUTHERN CHILE;Tsunami;CHILE;-38.5;-75.1;;01/11/1960;;;location : SOUTHERN CHILE;False;01/11/1960;
Tsunami PERU N. PERU;Tsunami;PERU;-6.8;-80.7;;20/11/1960;;;location : N. PERU;False;20/11/1960;
Tsunami JAPAN KASHIMA, JAPAN;Tsunami;JAPAN;36;142.3;;16/01/1961;;;location : KASHIMA, JAPAN;False;16/01/1961;
Tsunami JAPAN KASHIMA, JAPAN;Tsunami;JAPAN;36;141.9;;16/01/1961;;;location : KASHIMA, JAPAN;False;16/01/1961;
Tsunami JAPAN KASHIMA, JAPAN;Tsunami;JAPAN;36.2;141.9;;16/01/1961;;;location : KASHIMA, JAPAN;False;16/01/1961;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;43.2;147.9;;12/02/1961;;;location : S. KURIL ISLANDS;False;12/02/1961;
Tsunami JAPAN SEIKAIDO;Tsunami;JAPAN;31.6;131.8;;26/02/1961;;;location : SEIKAIDO;False;26/02/1961;
Tsunami TURKEY ASIA MINOR;Tsunami;TURKEY;36.693;28.594;;23/05/1961;;;location : ASIA MINOR;False;23/05/1961;
Tsunami COLOMBIA NORTHEASTERN;Tsunami;COLOMBIA;8.9;-73.4;;16/06/1961;;;location : NORTHEASTERN;False;16/06/1961;
Tsunami JAPAN RYUKYU ISLANDS;Tsunami;JAPAN;29.6;131.8;;18/07/1961;;;location : RYUKYU ISLANDS;False;18/07/1961;
Tsunami VANUATU VANUATU ISLANDS;Tsunami;VANUATU;-18.421;168.411;;23/07/1961;;;location : VANUATU ISLANDS;False;23/07/1961;
Tsunami SOLOMON ISLANDS SOLOMON SEA;Tsunami;SOLOMON ISLANDS;-9.849;160.614;;01/08/1961;;;location : SOLOMON SEA;False;01/08/1961;
Tsunami JAPAN SE. HOKKAIDO ISLAND;Tsunami;JAPAN;42.9;145.6;;11/08/1961;;;location : SE. HOKKAIDO ISLAND;False;11/08/1961;
Tsunami CHILE CENTRAL CHILE;Tsunami;CHILE;-36.7;-73;;18/10/1961;;;location : CENTRAL CHILE;False;18/10/1961;
Tsunami JAPAN SE. HOKKAIDO ISLAND;Tsunami;JAPAN;42.7;145.7;;15/11/1961;;;location : SE. HOKKAIDO ISLAND;False;15/11/1961;
Tsunami CROATIA DALMATIAN COASTS;Tsunami;CROATIA;43.3;17.1;;11/01/1962;;;location : DALMATIAN COASTS;False;11/01/1962;
Tsunami PANAMA COSTA RICA-PANAMA;Tsunami;PANAMA;8.008;-82.757;;12/03/1962;;;location : COSTA RICA-PANAMA;False;12/03/1962;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;38.073;142.741;;12/04/1962;;;location : SANRIKU;False;12/04/1962;
Tsunami JAPAN SE. HOKKAIDO ISLAND;Tsunami;JAPAN;42.2;143.9;;23/04/1962;;;location : SE. HOKKAIDO ISLAND;False;23/04/1962;
Tsunami MEXICO S. MEXICO;Tsunami;MEXICO;17.2;-99.6;;11/05/1962;;;location : S. MEXICO;False;11/05/1962;
Tsunami MEXICO S. MEXICO;Tsunami;MEXICO;17.2;-99.5;;19/05/1962;;;location : S. MEXICO;False;19/05/1962;
Tsunami JAPAN OFF COAST OF HONSHU ISLAND;Tsunami;JAPAN;41.8;142.4;;21/05/1962;;;location : OFF COAST OF HONSHU ISLAND;False;21/05/1962;
Tsunami USA FOX ISLANDS, ALEUTIAN ISLANDS, AK;Tsunami;USA;52.47;-168.54;;21/12/1962;;;location : FOX ISLANDS, ALEUTIAN ISLANDS, AK;False;21/12/1962;
Tsunami TAIWAN E. TAIWAN-RYUKYU ISLANDS;Tsunami;TAIWAN;24.4;122.1;;13/02/1963;;;location : E. TAIWAN-RYUKYU ISLANDS;False;13/02/1963;
Tsunami TURKEY MARMARA SEA;Tsunami;TURKEY;40.698;29.159;;18/09/1963;;;location : MARMARA SEA;False;18/09/1963;
Tsunami PERU CENTRAL PERU;Tsunami;PERU;-10.385;-78.022;;24/09/1963;;;location : CENTRAL PERU;False;24/09/1963;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;44.426;149.272;;12/10/1963;;;location : S. KURIL ISLANDS;False;12/10/1963;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;44.772;149.798;;13/10/1963;;;location : S. KURIL ISLANDS;False;13/10/1963;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;44.772;150.563;;20/10/1963;;;location : S. KURIL ISLANDS;False;20/10/1963;
Tsunami INDONESIA JAVA;Tsunami;INDONESIA;-6.4;105.4;;16/12/1963;;;location : JAVA;False;16/12/1963;
Tsunami TONGA TONGA TRENCH;Tsunami;TONGA;-24.8;-176.6;;18/12/1963;;;location : TONGA TRENCH;False;18/12/1963;
Tsunami USA PRINCE WILLIAM SOUND, AK;Tsunami;USA;60.908;-147.339;;28/03/1964;;;location : PRINCE WILLIAM SOUND, AK;False;28/03/1964;
Tsunami INDONESIA OFF NORTHWEST COAST OF INDONESIA;Tsunami;INDONESIA;5.8;95.4;;02/04/1964;;;location : OFF NORTHWEST COAST OF INDONESIA;False;02/04/1964;
Tsunami JAPAN NW. HONSHU ISLAND;Tsunami;JAPAN;40.3;139;;07/05/1964;;;location : NW. HONSHU ISLAND;False;07/05/1964;
Tsunami JAPAN NW. HONSHU ISLAND;Tsunami;JAPAN;40.4;139;;07/05/1964;;;location : NW. HONSHU ISLAND;False;07/05/1964;
Tsunami JAPAN NW. HONSHU ISLAND;Tsunami;JAPAN;38.65;139.2;;16/06/1964;;;location : NW. HONSHU ISLAND;False;16/06/1964;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;47.159;153.876;;24/07/1964;;;location : S. KURIL ISLANDS;False;24/07/1964;
Tsunami PAPUA NEW GUINEA NEW BRITAIN;Tsunami;PAPUA NEW GUINEA;-5.7;150.7;;17/11/1964;;;location : NEW BRITAIN;False;17/11/1964;
Tsunami JAPAN NW. HONSHU ISLAND;Tsunami;JAPAN;40.4;138.9;;10/12/1964;;;location : NW. HONSHU ISLAND;False;10/12/1964;
Tsunami INDONESIA SANANA ISLAND;Tsunami;INDONESIA;-2.4;126.1;;24/01/1965;;;location : SANANA ISLAND;False;24/01/1965;
Tsunami USA RAT ISLANDS, ALEUTIAN ISLANDS, AK;Tsunami;USA;51.251;178.715;;04/02/1965;;;location : RAT ISLANDS, ALEUTIAN ISLANDS, AK;False;04/02/1965;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-25.67;-70.63;;23/02/1965;;;location : NORTHERN CHILE;False;23/02/1965;
Tsunami GREECE AEGEAN SEA;Tsunami;GREECE;39.4;24;;09/03/1965;;;location : AEGEAN SEA;False;09/03/1965;
Tsunami CHILE CENTRAL CHILE;Tsunami;CHILE;-31.81;-71.26;;22/03/1965;;;location : CENTRAL CHILE;False;22/03/1965;
Tsunami USA RAT ISLANDS, ALEUTIAN ISLANDS, AK;Tsunami;USA;50.32;177.93;;30/03/1965;;;location : RAT ISLANDS, ALEUTIAN ISLANDS, AK;False;30/03/1965;
Tsunami JAPAN AICHI PREFECTURE;Tsunami;JAPAN;34.9;139;;19/04/1965;;;location : AICHI PREFECTURE;False;19/04/1965;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;44.7;148.7;;11/06/1965;;;location : S. KURIL ISLANDS;False;11/06/1965;
Tsunami USA FOX ISLANDS, ALEUTIAN ISLANDS, AK;Tsunami;USA;53.03;-167.55;;02/07/1965;;;location : FOX ISLANDS, ALEUTIAN ISLANDS, AK;False;02/07/1965;
Tsunami GREECE NORTH CORINTH GULF;Tsunami;GREECE;38.384;22.545;;06/07/1965;;;location : NORTH CORINTH GULF;False;06/07/1965;
Tsunami VANUATU VANUATU ISLANDS;Tsunami;VANUATU;-15.8;167.2;;11/08/1965;;;location : VANUATU ISLANDS;False;11/08/1965;
Tsunami VANUATU VANUATU ISLANDS;Tsunami;VANUATU;-15.9;166.8;;13/08/1965;;;location : VANUATU ISLANDS;False;13/08/1965;
Tsunami MEXICO MEXICO;Tsunami;MEXICO;16.3;-95.8;;23/08/1965;;;location : MEXICO;False;23/08/1965;
Tsunami CHILE SOUTHERN CHILE;Tsunami;CHILE;-42.9;-75.13;;03/10/1965;;;location : SOUTHERN CHILE;False;03/10/1965;
Tsunami TAIWAN E. TAIWAN-RYUKYU ISLANDS;Tsunami;TAIWAN;24.1;122.6;;12/03/1966;;;location : E. TAIWAN-RYUKYU ISLANDS;False;12/03/1966;
Tsunami SOLOMON ISLANDS SOLOMON ISLANDS;Tsunami;SOLOMON ISLANDS;-10.343;160.883;;15/06/1966;;;location : SOLOMON ISLANDS;False;15/06/1966;
Tsunami RUSSIA BLACK SEA;Tsunami;RUSSIA;44.75;37;;12/07/1966;;;location : BLACK SEA;False;12/07/1966;
Tsunami PERU CENTRAL PERU;Tsunami;PERU;-10.748;-78.638;;17/10/1966;;;location : CENTRAL PERU;False;17/10/1966;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-25.5;-70.7;;28/12/1966;;;location : NORTHERN CHILE;False;28/12/1966;
Tsunami SOLOMON ISLANDS SANTA CRUZ ISLANDS;Tsunami;SOLOMON ISLANDS;-11.893;166.445;;31/12/1966;;;location : SANTA CRUZ ISLANDS;False;31/12/1966;
Tsunami SOLOMON ISLANDS SANTA CRUZ ISLANDS;Tsunami;SOLOMON ISLANDS;-12.334;166.684;;31/12/1966;;;location : SANTA CRUZ ISLANDS;False;31/12/1966;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;45.53;151.11;;19/03/1967;;;location : S. KURIL ISLANDS;False;19/03/1967;
Tsunami INDONESIA MAKASSAR STRAIT;Tsunami;INDONESIA;-3.7;119.3;;11/04/1967;;;location : MAKASSAR STRAIT;False;11/04/1967;
Tsunami INDONESIA NORTHEAST SUMATRA;Tsunami;INDONESIA;5.5;97.3;;12/04/1967;;;location : NORTHEAST SUMATRA;False;12/04/1967;
Tsunami VENEZUELA CARACAS;Tsunami;VENEZUELA;10.559;-67.33;;30/07/1967;;;location : CARACAS;False;30/07/1967;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-4.4;152.5;;13/08/1967;;;location : BISMARCK SEA;False;13/08/1967;
Tsunami PERU CENTRAL PERU;Tsunami;PERU;-10.6;-79.8;;03/09/1967;;;location : CENTRAL PERU;False;03/09/1967;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-28.78;-71.19;;15/11/1967;;;location : NORTHERN CHILE;False;15/11/1967;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-21.7;-69.5;;21/12/1967;;;location : NORTHERN CHILE;False;21/12/1967;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;43.586;146.701;;29/01/1968;;;location : S. KURIL ISLANDS;False;29/01/1968;
Tsunami GREECE LEMNOS ISLAND, NORTH AEGEAN SEA;Tsunami;GREECE;39.368;24.957;;19/02/1968;;;location : LEMNOS ISLAND, NORTH AEGEAN SEA;False;19/02/1968;
Tsunami JAPAN SEIKAIDO;Tsunami;JAPAN;32.3;132.5;;01/04/1968;;;location : SEIKAIDO;False;01/04/1968;
Tsunami JAPAN OFF EAST COAST OF HONSHU ISLAND;Tsunami;JAPAN;40.8;143.2;;16/05/1968;;;location : OFF EAST COAST OF HONSHU ISLAND;False;16/05/1968;
Tsunami JAPAN OFF COAST OF HONSHU ISLAND;Tsunami;JAPAN;41.5;142.7;;16/05/1968;;;location : OFF COAST OF HONSHU ISLAND;False;16/05/1968;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;39.4;143.1;;12/06/1968;;;location : SANRIKU;False;12/06/1968;
Tsunami NEW ZEALAND KERMADEC ISLANDS;Tsunami;NEW ZEALAND;-30.8;-178.4;;25/07/1968;;;location : KERMADEC ISLANDS;False;25/07/1968;
Tsunami PHILIPPINES E. LUZON ISLAND;Tsunami;PHILIPPINES;16.5;122.2;;01/08/1968;;;location : E. LUZON ISLAND;False;01/08/1968;
Tsunami MEXICO ACAPULCO;Tsunami;MEXICO;16.519;-97.739;;02/08/1968;;;location : ACAPULCO;False;02/08/1968;
Tsunami JAPAN SEIKAIDO-NANKAIDO;Tsunami;JAPAN;33.3;132.2;;05/08/1968;;;location : SEIKAIDO-NANKAIDO;False;05/08/1968;
Tsunami INDONESIA N. MOLUCCAS ISLANDS;Tsunami;INDONESIA;1.4;126.2;;10/08/1968;;;location : N. MOLUCCAS ISLANDS;False;10/08/1968;
Tsunami INDONESIA BANDA SEA;Tsunami;INDONESIA;0.2;119.8;;14/08/1968;;;location : BANDA SEA;False;14/08/1968;
Tsunami TURKEY BLACK SEA;Tsunami;TURKEY;41.8;32.3;;03/09/1968;;;location : BLACK SEA;False;03/09/1968;
Tsunami VENEZUELA CARUPANO;Tsunami;VENEZUELA;10.697;-62.748;;20/09/1968;;;location : CARUPANO;False;20/09/1968;
Tsunami MEXICO S. MEXICO-GUATEMALA-NICARAGUA;Tsunami;MEXICO;15.573;-92.536;;25/09/1968;;;location : S. MEXICO-GUATEMALA-NICARAGUA;False;25/09/1968;
Tsunami GREECE ISLAND OF KOS;Tsunami;GREECE;36.52;26.946;;05/12/1968;;;location : ISLAND OF KOS;False;05/12/1968;
