Search Parameters;Year;Month;Day;Location Name;Latitude;Longitude;Mag;population_touchee;accessibilite
;1956;5;23;FIJI ISLANDS;-15.0;-179.0;7.5;5000;0.4
;1956;6;9;AFGHANISTAN:  KABUL;35.1;67.5;7.6;12000;0.4
;1956;7;9;GREECE:  DODECANESE;36.664;25.957;7.7;10000;0.6
;1956;7;9;GREECE:  AEGEAN SEA;36.8;25.2;6.8;10000;0.6
;1956;7;16;MYANMAR (BURMA);22.178;95.781;6.8;10000;0.4
;1956;7;18;INDONESIA:  BANDA SEA;-5.5;130.0;7.5;5000;0.3
;1956;7;21;INDIA:  ANJAR, BHUJ, GANDHIDHAM, KANDLA;23.278;70.107;6.0;15000;0.6
;1956;8;12;JAPAN:  IZU PENINSULA;33.8;138.8;6.5;5000;0.7
;1956;8;19;CHINA:  SHANXI PROVINCE;37.8;114.0;5.0;12000;0.6
;1956;10;11;RUSSIA:  KURIL ISLANDS;46.0;150.5;7.6;5000;0.3
;1956;10;24;NICARAGUA:  OFF COAST;11.682;-86.556;7.1;10000;0.4
;1956;10;31;IRAN:  BASTAK;27.407;54.462;6.4;5000;0.4
;1956;11;2;GREECE:  VOLOS-AGRIA (MAGNESIA);39.267;23.173;5.6;10000;0.7
;1956;12;18;CHILE:  ANTOFAGASTA;-25.5;-71.0;;5000;0.6
;1956;12;31;CHINA:  HEBEI PROVINCE;40.5;115.5;5.0;5000;0.6
;1957;2;20;TUNISIA:  SIDI ABID,SIDI TOUIL (LA MEDJA),CAILLOUX;36.2;8.9;5.6;5000;0.6
;1957;2;23;TAIWAN:  HUALIEN, TAIPEI;23.9;121.6;7.2;100000;0.6
;1957;3;8;GREECE:  STEPHANOVIKION-VELESTNON (MAGNESIA);39.4;22.8;7.0;10000;0.7
;1957;3;9;ALASKA;51.499;-175.626;8.6;5000;0.3
;1957;3;22;ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS;55.0;-165.2;7.5;5000;0.3
;1957;3;22;CALIFORNIA:  SAN MATEO COUNTY;37.557;-122.724;5.7;5000;0.85
;1957;4;14;SAMOA ISLANDS;-15.5;-173.0;7.5;5000;0.4
;1957;4;16;INDONESIA:  JAVA SEA;-4.6;107.1;7.5;15000;0.6
;1957;4;23;IRAN:  KACHU MESQAL;33.4;52.5;;2000;0.3
;1957;4;24;TURKEY;36.31;28.62;6.9;12000;0.5
;1957;4;25;TURKEY:  FETHIYE (LYCIA, ASIA MINOR);36.405;28.699;7.3;15000;0.6
;1957;5;26;TURKEY:  ABANT;40.73;31.09;7.1;12000;0.6
;1957;6;10;CHINA:  SHANXI PROVINCE;38.0;112.5;5.0;10000;0.6
;1957;6;22;INDONESIA:  NEW GUINEA:  IRIAN JAYA;-1.5;137.0;7.3;5000;0.3
;1957;6;27;RUSSIA:  CHITA;56.2;116.4;7.6;12000;0.3
;1957;7;2;IRAN:  HAZANDERAN, ABEGARM;36.277;52.778;6.6;2000;0.4
;1957;7;28;MEXICO:  ACAPULCO,MEXICO CITY;16.5;-99.1;7.9;20000;0.6
;1957;7;29;CHILE:  ANTOFAGASTA;-23.5;-71.5;7.0;5000;0.6
;1957;9;5;IRAN:  JAHROM;28.3;53.3;;2500;0.4
;1957;9;24;PHILIPPINES;5.5;127.5;7.6;10000;0.4
;1957;9;26;S. JAVA SEA;-8.2;107.3;;1500;0.6
;1957;9;28;FIJI ISLANDS;-20.4;-178.5;7.5;5000;0.4
;1957;10;26;INDONESIA:  KALIMANTAN ISLAND;-2.0;116.0;6.0;5000;0.4
;1957;11;29;BOLIVIA:  S;-21.0;-66.0;7.8;5000;0.3
;1957;12;4;MONGOLIA;45.5;99.5;8.1;12000;0.3
;1957;12;13;IRAN:  FARSINAJ;34.388;47.748;6.5;2000;0.4
;1957;12;17;SOLOMON ISLANDS:  SANTA CRUZ ISLANDS;-12.3;166.7;7.8;5000;0.3
;1958;1;15;PERU: AREQUIPA;-16.25;-72.242;7.0;12000;0.4
;1958;1;16;IRAN;36.5;53.0;;2000;0.4
;1958;1;19;COLOMBIA-ECUADOR;1.5;-79.5;7.6;50000;0.4
;1958;2;1;COLOMBIA-ECUADOR;2.0;-79.0;6.9;5000;0.4
;1958;2;7;CHINA:  SICHUAN PROVINCE;31.5;104.0;6.2;10000;0.4
